Time (Z),Diff_Min,MWS_Wind_Dir,CYYR_Wind_Dir,MWS_Wind_Spd,CYYR_Wind_Spd,MWS_Wind_Gust,CYYR_Wind_Gust,MWS_Vis,CYYR_Vis,MWS_Wx,CYYR_Wx,MWS_Temp,CYYR_Temp,MWS_Dew,CYYR_Dew,MWS_QNH,CYYR_QNH
19. 15:35Z,10,260,310,7,6,14.0,,6SM,6SM,///008 ///022 ///027 ///028 MAX WND 26014KT -60.4006°;02/19/2026 1535Z,CYYR -SHSN OVC030,00,M02,M5,M07,A2973,A2977
19. 15:55Z,5,340,330,3,6,,,6SM,12SM,///003 ///021 ///024 ///025 CLD LYR BLO -60.4006°;02/19/2026 1555Z,CYYR -SHSN BKN025 OVC040,M2,M02,M6,M07,A2972,A2976
19. 16:15Z,15,10,330,4,6,6.0,,6SM,12SM,///022 ///023 ///025 ///028 -60.4006°;02/19/2026 1615Z,CYYR -SHSN BKN025 OVC040,M2,M02,M6,M07,A2972,A2976
19. 16:55Z,5,360,340,5,5,10.0,,6SM,12SM,///031 ///033 ///036 -60.4006°;02/19/2026 1655Z,CYYR -SHSN BKN030 OVC040,M1,M02,M7,M09,A2971,A2975
19. 17:15Z,15,10,340,6,5,10.0,,6SM,12SM,///029 ///035 ///036 ///037 -60.4006°;02/19/2026 1715Z,CYYR -SHSN BKN030 OVC040,M2,M02,M8,M09,A2971,A2975
19. 17:55Z,5,360,330,5,5,7.0,,6SM,12SM,///031 -60.4006°;02/19/2026 1755Z,CYYR -SHSN BKN030 OVC040,M2,M01,M9,M09,A2970,A2975
19. 18:15Z,15,340,330,5,5,7.0,,6SM,12SM,CLR -60.4006°;02/19/2026 1815Z,CYYR -SHSN BKN030 OVC040,M2,M01,M9,M09,A2970,A2975
19. 18:55Z,4,350,320,5,9,7.0,,6SM,3SM,CLR -60.4006°;02/19/2026 1855Z,CYYR -SHSN OVC031,M2,M02,M9,M08,A2971,A2975
19. 19:15Z,15,330,320,7,8,9.0,,6SM,3SM,CLR -60.4006°;02/19/2026 1915Z,CYYR -SHSN OVC032,M2,M02,M8,M08,A2971,A2975
19. 19:35Z,15,320,320,6,6,8.0,,6SM,6SM,CLR -60.4006°;02/19/2026 1935Z,CYYR -SHSN OVC032,M2,M02,M8,M08,A2971,A2975
19. 19:55Z,5,310,320,5,6,,,6SM,6SM,CLR -60.4006°;02/19/2026 1955Z,CYYR -SHSN OVC032,M2,M02,M8,M08,A2971,A2975
19. 20:15Z,8,280,260,5,4,6.0,,6SM,3SM,///002 ///006 ///016 CLD LYR BLO -60.4006°;02/19/2026 2015Z,CYYR -SHSN OVC028,M3,M02,M7,M06,A2971,A2976
19. 20:35Z,3,290,310,6,6,9.0,,5SM,8SM,///001 ///002 CLD LYR BLO -60.4006°;02/19/2026 2035Z,CYYR -SHSN OVC030,M3,M03,M7,M07,A2971,A2976
19. 20:55Z,5,290,270,5,5,6.0,,6SM,10SM,///003 ///006 CLD LYR BLO -60.4006°;02/19/2026 2055Z,CYYR -SHSN SCT030 BKN240,M4,M03,M7,M06,A2972,A2977
19. 21:15Z,15,310,270,4,5,5.0,,6SM,10SM,///002 ///004 CLD LYR BLO -60.4006°;02/19/2026 2115Z,CYYR -SHSN SCT030 BKN240,M4,M03,M8,M06,A2972,A2977
19. 21:55Z,5,310,290,5,3,7.0,,6SM,10SM,CLR -60.4006°;02/19/2026 2155Z,CYYR -SHSN SCT035 OVC065,M4,M05,M8,M07,A2973,A2978
19. 22:15Z,1,310,270,5,4,6.0,,6SM,5SM,///002 -60.4006°;02/19/2026 2215Z,CYYR -SHSN FEW024 OVC034,M4,M05,M8,M06,A2973,A2978
19. 22:55Z,5,310,280,5,4,6.0,,6SM,4SM,///002 -60.4006°;02/19/2026 2255Z,CYYR -SHSN FEW024 OVC033,M4,M05,M8,M06,A2973,A2978
19. 23:15Z,3,310,280,4,3,,,6SM,7SM,///002 -60.4006°;02/19/2026 2315Z,CYYR -SHSN FEW026 BKN033 OVC039,M5,M05,M7,M06,A2973,A2978
19. 23:35Z,1,320,270,4,3,6.0,,6SM,2 1/2SM,CLR -60.4006°;02/19/2026 2335Z,CYYR -SHSN FEW018 BKN026 OVC031,M5,M05,M7,M06,A2973,A2978
19. 23:55Z,5,320,300,6,5,8.0,,6SM,4SM,CLR -60.4006°;02/19/2026 2355Z,CYYR -SHSN FEW012 OVC032,M5,M05,M7,M06,A2974,A2978
20. 00:15Z,0,320,300,8,6,11.0,,6SM,3SM,CLR -60.4006°;02/20/2026 0015Z,CYYR -SHSN FEW011 BKN019 OVC026,M5,M05,M8,M06,A2974,A2978
20. 00:55Z,5,330,300,8,7,10.0,,6SM,2 1/2SM,CLR -60.4006°;02/20/2026 0055Z,CYYR -SHSN FEW011 BKN023 OVC032,M5,M06,M9,M07,A2974,A2979
20. 01:15Z,6,330,310,8,9,10.0,,6SM,3SM,CLR -60.4006°;02/20/2026 0115Z,CYYR -SHSN FEW011 FEW024 BKN031 OVC038,M6,M06,M9,M08,A2974,A2979
20. 01:55Z,3,310,280,10,8,14.0,,6SM,7SM,CLR -60.4006°;02/20/2026 0155Z,CYYR -SHSN FEW011 FEW024 OVC032,M6,M07,M10,M08,A2975,A2979
20. 02:15Z,15,310,280,9,10,12.0,,6SM,7SM,CLR -60.4006°;02/20/2026 0215Z,CYYR -SHSN FEW011 FEW023 OVC032,M7,M07,M10,M08,A2975,A2980
20. 02:35Z,3,300,260,10,9,13.0,,6SM,4SM,CLR -60.4006°;02/20/2026 0235Z,CYYR -SHSN FEW011 BKN022 OVC032,M8,M08,M11,M10,A2975,A2980
20. 02:55Z,5,290,260,10,8,6.0,,6SM,5SM,CLR -60.4006°;02/20/2026 0255Z,CYYR -SHSN FEW008 FEW018 OVC029,M8,M09,M12,M10,A2975,A2981
20. 03:15Z,1,300,260,10,7,13.0,,6SM,8SM,CLR -60.4006°;02/20/2026 0315Z,CYYR -SHSN FEW008 OVC022,M9,M09,M12,M11,A2976,A2981
20. 03:55Z,5,280,260,12,8,15.0,,6SM,8SM,CLR -60.4006°;02/20/2026 0355Z,CYYR -SHSN FEW009 FEW013 SCT019 BKN027,M10,M10,M13,M12,A2976,A2981
20. 04:15Z,15,280,260,11,8,14.0,,6SM,8SM,CLR -60.4006°;02/20/2026 0415Z,CYYR -SHSN FEW009 FEW013 SCT019 BKN027,M10,M10,M14,M12,A2976,A2981
20. 04:55Z,5,280,250,9,7,11.0,,6SM,5SM,CLR -60.4006°;02/20/2026 0455Z,CYYR -SHSN FEW009 OVC021,M11,M10,M14,M12,A2976,A2981
20. 05:15Z,15,280,250,10,7,14.0,,6SM,5SM,CLR -60.4006°;02/20/2026 0515Z,CYYR -SHSN FEW009 OVC021,M11,M10,M14,M12,A2976,A2981
20. 05:35Z,8,280,260,11,4,15.0,,6SM,2 1/2SM,CLR -60.4006°;02/20/2026 0535Z,CYYR -SHSN OVC009,M11,M11,M14,M13,A2977,A2981
20. 05:55Z,5,280,270,9,6,12.0,,6SM,2 1/2SM,CLR -60.4006°;02/20/2026 0555Z,CYYR 230V290 -SHSN BKN009 OVC016,M11,M11,M14,M13,A2977,A2982
20. 06:15Z,10,280,260,10,7,14.0,,6SM,2 1/2SM,CLR -60.4006°;02/20/2026 0615Z,CYYR -SHSN FEW008 BKN011 OVC016,M11,M11,M15,M13,A2977,A2982
20. 06:35Z,8,290,260,8,6,10.0,,6SM,3SM,CLR -60.4006°;02/20/2026 0635Z,CYYR -SN FEW011 OVC019,M12,M12,M15,M13,A2977,A2982
20. 06:55Z,5,290,270,8,7,10.0,,6SM,4SM,CLR -60.4006°;02/20/2026 0655Z,CYYR -SN FEW010 BKN017 BKN022,M12,M12,M15,M14,A2978,A2983
20. 07:15Z,9,280,260,7,7,9.0,,6SM,8SM,CLR -60.4006°;02/20/2026 0715Z,CYYR -SN FEW011 OVC017,M12,M12,M15,M14,A2978,A2983
20. 07:35Z,11,300,260,8,7,13.0,,6SM,8SM,CLR -60.4006°;02/20/2026 0735Z,CYYR -SN FEW011 OVC017,M12,M12,M16,M14,A2978,A2983
20. 07:55Z,5,290,270,7,5,10.0,,6SM,4SM,CLR -60.4006°;02/20/2026 0755Z,CYYR -SN SCT009 OVC013,M12,M13,M16,M14,A2979,A2984
20. 08:15Z,9,310,280,7,8,8.0,,6SM,7SM,CLR -60.4006°;02/20/2026 0815Z,CYYR -SN OVC013,M13,M13,M16,M15,A2979,A2984
20. 08:35Z,11,310,280,7,8,8.0,,6SM,7SM,CLR -60.4006°;02/20/2026 0835Z,CYYR -SN OVC013,M13,M13,M16,M15,A2980,A2984
20. 08:55Z,5,300,280,9,6,13.0,,6SM,4SM,CLR -60.4006°;02/20/2026 0855Z,CYYR -SN FEW009 BKN013 BKN018 OVC035,M13,M13,M16,M15,A2980,A2985
20. 09:15Z,15,320,280,9,6,11.0,,6SM,4SM,CLR -60.4006°;02/20/2026 0915Z,CYYR -SN FEW009 BKN013 BKN018 OVC035,M13,M13,M17,M15,A2980,A2985
20. 09:35Z,7,320,280,10,7,15.0,,6SM,4SM,CLR -60.4006°;02/20/2026 0935Z,CYYR -SN FEW009 OVC021,M13,M13,M17,M15,A2981,A2986
20. 09:55Z,5,290,270,7,7,11.0,,6SM,2 1/2SM,CLR -60.4006°;02/20/2026 0955Z,CYYR -SN FEW009 BKN019 OVC027,M13,M14,M17,M16,A2981,A2985
20. 10:15Z,4,310,280,8,6,11.0,,6SM,6SM,CLR -60.4006°;02/20/2026 1015Z,CYYR 240V300 -SN FEW009 BKN018 OVC027,M14,M14,M17,M16,A2981,A2986
20. 10:55Z,5,290,280,8,6,11.0,,6SM,5SM,CLR -60.4006°;02/20/2026 1055Z,CYYR -SN SCT006 BKN018 OVC031,M14,M14,M17,M15,A2981,A2986
20. 11:15Z,15,320,280,8,6,12.0,,6SM,5SM,CLR -60.4006°;02/20/2026 1115Z,CYYR -SN SCT006 BKN018 OVC031,M14,M14,M17,M15,A2981,A2986
20. 11:35Z,6,290,280,9,7,12.0,,6SM,2SM,CLR -60.4006°;02/20/2026 1135Z,CYYR -SN SCT007 OVC021,M14,M14,M17,M15,A2982,A2986
20. 11:55Z,5,320,280,9,8,11.0,,6SM,2SM,CLR -60.4006°;02/20/2026 1155Z,CYYR -SN FEW007 BKN020,M14,M14,M17,M16,A2982,A2986
20. 12:15Z,12,320,290,9,6,13.0,,6SM,3SM,CLR -60.4006°;02/20/2026 1215Z,CYYR -SN FEW006 SCT021 BKN037,M14,M14,M17,M16,A2982,A2986
20. 12:35Z,8,320,290,8,6,11.0,,6SM,3SM,CLR -60.4006°;02/20/2026 1235Z,CYYR -SN FEW006 SCT021 BKN037,M14,M14,M18,M16,A2981,A2986
20. 12:55Z,3,320,280,7,6,9.0,,6SM,6SM,CLR -60.4006°;02/20/2026 1255Z,CYYR -SN SCT021 BKN039,M14,M13,M18,M16,A2981,A2986
20. 13:15Z,9,330,290,8,6,10.0,,6SM,2 1/2SM,CLR -60.4006°;02/20/2026 1315Z,CYYR -SN BKN029 OVC039,M13,M13,M17,M16,A2982,A2986
20. 13:35Z,11,310,290,8,6,10.0,,6SM,2 1/2SM,CLR -60.4006°;02/20/2026 1335Z,CYYR -SN BKN029 OVC039,M13,M13,M17,M16,A2981,A2986
20. 13:55Z,5,320,290,7,7,8.0,,6SM,2SM,CLR -60.4006°;02/20/2026 1355Z,CYYR -SN BKN017 OVC025,M13,M12,M17,M15,A2981,A2985
20. 14:15Z,15,320,290,7,7,10.0,,6SM,2SM,CLR -60.4006°;02/20/2026 1415Z,CYYR -SN BKN017 OVC025,M13,M12,M17,M15,A2980,A2985
20. 14:55Z,5,340,310,8,9,11.0,,6SM,2SM,CLR -60.4006°;02/20/2026 1455Z,CYYR -SN OVC018,M12,M11,M16,M15,A2979,A2984
20. 15:15Z,2,330,300,8,8,10.0,,6SM,1SM,CLR -60.4006°;02/20/2026 1515Z,CYYR -SN FEW004 OVC018,M12,M11,M16,M14,A2979,A2984
20. 15:55Z,5,340,320,9,8,11.0,,6SM,1SM,CLR -60.4006°;02/20/2026 1555Z,CYYR -SN OVC018,M11,M11,M15,M14,A2977,A2982
20. 16:15Z,0,340,320,8,9,10.0,,6SM,3/4SM,CLR -60.4006°;02/20/2026 1615Z,CYYR -SN OVC018,M11,M10,M15,M14,A2977,A2981
20. 16:35Z,3,340,320,9,8,11.0,,6SM,1SM,CLR -60.4006°;02/20/2026 1635Z,CYYR -SN OVC018,M11,M10,M15,M14,A2977,A2981
20. 16:55Z,5,340,310,8,9,9.0,,6SM,1SM,CLR -60.4006°;02/20/2026 1655Z,CYYR -SN OVC017,M11,M10,M15,M13,A2976,A2981
20. 17:15Z,9,340,310,7,6,8.0,,6SM,1 1/2SM,CLR -60.4006°;02/20/2026 1715Z,CYYR -SN OVC021,M11,M10,M15,M13,A2975,A2980
20. 17:35Z,11,340,310,7,6,9.0,,6SM,1 1/2SM,CLR -60.4006°;02/20/2026 1735Z,CYYR -SN OVC021,M10,M10,M15,M13,A2975,A2980
20. 17:55Z,5,330,310,7,8,10.0,,6SM,1 1/2SM,CLR -60.4006°;02/20/2026 1755Z,CYYR -SN OVC020,M10,M09,M14,M12,A2975,A2980
20. 18:15Z,3,330,310,7,6,9.0,,6SM,3/4SM,CLR -60.4006°;02/20/2026 1815Z,CYYR -SN OVC020,M10,M09,M14,M12,A2975,A2980
20. 18:55Z,2,330,310,8,8,10.0,,6SM,1 1/4SM,CLR -60.4006°;02/20/2026 1855Z,CYYR -SN SCT010 OVC019,M9,M09,M13,M11,A2975,A2980
20. 19:15Z,15,350,310,8,8,12.0,,6SM,1SM,CLR -60.4006°;02/20/2026 1915Z,CYYR -SN SCT010 OVC018,M9,M09,M13,M11,A2975,A2980
20. 19:35Z,6,340,320,8,6,9.0,,6SM,2 1/2SM,CLR -60.4006°;02/20/2026 1935Z,CYYR -SN SCT010 OVC026,M9,M09,M13,M11,A2974,A2979
20. 19:55Z,4,330,310,6,5,7.0,,6SM,8SM,CLR -60.4006°;02/20/2026 1955Z,CYYR -SN FEW010 OVC021,M9,M09,M12,M11,A2975,A2980
20. 20:15Z,15,310,280,5,4,6.0,,6SM,8SM,CLR -60.4006°;02/20/2026 2015Z,CYYR -SN FEW010 OVC020,M9,M09,M12,M11,A2975,A2980
20. 20:55Z,4,290,260,4,5,6.0,,6SM,3SM,CLR -60.4006°;02/20/2026 2055Z,CYYR -SN OVC022,M9,M09,M12,M11,A2975,A2980
20. 21:15Z,15,280,250,5,4,6.0,,6SM,3SM,CLR -60.4006°;02/20/2026 2115Z,CYYR -SN OVC022,M9,M09,M12,M11,A2975,A2980
20. 21:55Z,5,260,220,4,5,,,6SM,3SM,CLR -60.4006°;02/20/2026 2155Z,CYYR -SN FEW007 OVC020,M9,M09,M12,M10,A2976,A2981
20. 22:15Z,15,260,220,4,5,5.0,,6SM,3SM,CLR -60.4006°;02/20/2026 2215Z,CYYR -SN FEW007 OVC020,M9,M09,M12,M10,A2976,A2981
20. 22:55Z,5,220,210,2,3,,,6SM,3SM,CLR -60.4006°;02/20/2026 2255Z,CYYR -SN FEW007 OVC023,M9,M09,M12,M10,A2977,A2982
20. 23:15Z,15,200,210,2,3,3.0,,6SM,3SM,CLR -60.4006°;02/20/2026 2315Z,CYYR -SN FEW007 OVC023,M9,M09,M11,M10,A2977,A2982
20. 23:55Z,5,250,270,3,4,4.0,,6SM,4SM,CLR -60.4006°;02/20/2026 2355Z,CYYR -SN OVC020,M8,M08,M11,M09,A2977,A2982
21. 00:15Z,15,270,270,3,4,4.0,,6SM,4SM,CLR -60.4006°;02/21/2026 0015Z,CYYR -SN OVC020,M8,M08,M10,M09,A2977,A2982
21. 00:35Z,11,360,340,4,6,6.0,,6SM,10SM,CLR -60.4006°;02/21/2026 0035Z,CYYR -SN OVC019,M7,M06,M9,M07,A2978,A2983
21. 00:55Z,5,360,350,6,10,9.0,,6SM,12SM,CLR -60.4006°;02/21/2026 0055Z,CYYR -SN OVC019,M6,M06,M9,M07,A2978,A2983
21. 01:15Z,15,10,350,10,10,15.0,,6SM,12SM,CLR -60.4006°;02/21/2026 0115Z,CYYR -SN OVC019,M6,M06,M9,M07,A2978,A2983
21. 01:55Z,5,10,350,13,13,16.0,21.0,6SM,12SM,CLR -60.4006°;02/21/2026 0155Z,CYYR -SN SCT019 OVC024,M5,M05,M9,M07,A2979,A2984
21. 02:15Z,15,10,350,17,13,25.0,21.0,6SM,12SM,CLR MAX WND 01025KT -60.4006°;02/21/2026 0215Z,CYYR -SN SCT019 OVC024,M5,M05,M9,M07,A2979,A2984
21. 02:35Z,11,360,350,14,10,17.0,,6SM,10SM,CLR -60.4006°;02/21/2026 0235Z,CYYR -SN DRSN BKN025 OVC040,M5,M05,M9,M07,A2980,A2985
21. 02:55Z,5,10,350,12,8,16.0,,6SM,8SM,CLR -60.4006°;02/21/2026 0255Z,CYYR -SN DRSN FEW019 BKN025 OVC042,M5,M05,M9,M07,A2980,A2985
21. 03:15Z,2,20,350,9,9,11.0,17.0,6SM,6SM,CLR -60.4006°;02/21/2026 0315Z,CYYR -SN DRSN BKN018 OVC025,M5,M05,M9,M08,A2980,A2985
21. 03:35Z,5,30,360,9,7,12.0,,6SM,2SM,CLR -60.4006°;02/21/2026 0335Z,CYYR -SN DRSN BKN019 OVC025,M5,M05,M9,M07,A2981,A2986
21. 03:55Z,4,30,10,10,10,15.0,,6SM,1SM,CLR -60.4006°;02/21/2026 0355Z,CYYR -SN VV003,M6,M06,M9,M07,A2982,A2987
21. 04:15Z,4,10,350,11,10,15.0,,6SM,3SM,CLR -60.4006°;02/21/2026 0415Z,CYYR -SN BKN003 OVC020,M6,M06,M9,M07,A2982,A2987
21. 04:35Z,9,20,360,11,10,15.0,,6SM,10SM,CLR -60.4006°;02/21/2026 0435Z,CYYR -SN SCT003 OVC023,M6,M06,M9,M07,A2982,A2987
21. 04:55Z,5,10,350,13,12,17.0,18.0,6SM,15SM,CLR -60.4006°;02/21/2026 0455Z,CYYR -SN DRSN FEW003 BKN025 OVC043,M5,M05,M9,M08,A2981,A2987
21. 05:15Z,15,20,350,12,12,15.0,18.0,6SM,15SM,CLR -60.4006°;02/21/2026 0515Z,CYYR -SN DRSN FEW003 BKN025 OVC043,M5,M05,M9,M08,A2982,A2987
21. 05:55Z,5,10,340,15,18,23.0,26.0,6SM,15SM,CLR MAX WND 01023KT -60.4006°;02/21/2026 0555Z,CYYR -SN DRSN SCT025 OVC050,M5,M05,M9,M07,A2983,A2988
21. 06:15Z,15,10,340,18,18,22.0,26.0,6SM,15SM,CLR -60.4006°;02/21/2026 0615Z,CYYR -SN DRSN SCT025 OVC050,M5,M05,M9,M07,A2982,A2988
21. 06:55Z,5,10,340,20,17,30.0,23.0,6SM,15SM,///048 ///050 MAX WND 01030KT -60.4006°;02/21/2026 0655Z,CYYR -SN DRSN FEW030 BKN050 OVC070,M5,M05,M8,M07,A2984,A2989
21. 07:15Z,15,10,340,21,17,27.0,23.0,6SM,15SM,///050 MAX WND 01027KT -60.4006°;02/21/2026 0715Z,CYYR -SN DRSN FEW030 BKN050 OVC070,M5,M05,M8,M07,A2984,A2989
21. 07:55Z,5,10,340,19,16,25.0,23.0,6SM,15SM,///047 ///049 ///050 MAX WND 01025KT -60.4006°;02/21/2026 0755Z,CYYR -SN DRSN FEW012 FEW025 OVC050,M4,M04,M8,M06,A2985,A2990
21. 08:15Z,15,10,340,18,16,22.0,23.0,6SM,15SM,///020 ///055 ///060 -60.4006°;02/21/2026 0815Z,CYYR -SN DRSN FEW012 FEW025 OVC050,M4,M04,M8,M06,A2986,A2990
21. 08:35Z,7,10,340,20,17,28.0,27.0,6SM,15SM,///024 ///050 ///055 MAX WND 01028KT -60.4006°;02/21/2026 0835Z,CYYR DRSN FEW012 FEW030 OVC055,M4,M04,M8,M07,A2986,A2991
21. 08:55Z,5,10,350,18,15,25.0,20.0,6SM,15SM,///019 ///020 ///021 MAX WND 01025KT -60.4006°;02/21/2026 0855Z,CYYR DRSN FEW012 SCT022 OVC055,M4,M04,M8,M06,A2986,A2991
21. 09:15Z,15,10,350,17,15,21.0,20.0,6SM,15SM,///035 ///036 ///037 ///055 -60.4006°;02/21/2026 0915Z,CYYR DRSN FEW012 SCT022 OVC055,M4,M04,M8,M06,A2986,A2991
21. 09:55Z,5,10,350,20,16,27.0,23.0,6SM,15SM,///024 ///060 MAX WND 01027KT -60.4006°;02/21/2026 0955Z,CYYR DRSN SCT030 OVC060,M4,M04,M8,M07,A2987,A2993
21. 10:15Z,15,10,350,20,16,27.0,23.0,6SM,15SM,///027 ///028 ///060 MAX WND 01027KT -60.4006°;02/21/2026 1015Z,CYYR DRSN SCT030 OVC060,M4,M04,M8,M07,A2988,A2993
21. 10:55Z,5,10,340,17,20,20.0,29.0,6SM,15SM,///023 ///024 -60.4006°;02/21/2026 1055Z,CYYR DRSN FEW020 SCT026 OVC050,M4,M04,M8,M06,A2989,A2994
21. 11:15Z,15,10,340,18,20,23.0,29.0,6SM,15SM,///065 -60.4006°;02/21/2026 1115Z,CYYR DRSN FEW020 SCT026 OVC050,M4,M04,M8,M06,A2990,A2994
21. 11:55Z,5,10,340,22,17,28.0,27.0,6SM,15SM,///021 ///022 ///027 ///034 MAX WND 01028KT -60.4006°;02/21/2026 1155Z,CYYR DRSN FEW024 SCT035 OVC060,M4,M04,M7,M06,A2991,A2996
21. 12:15Z,15,10,340,17,17,19.0,27.0,6SM,15SM,///021 ///024 ///026 ///028 -60.4006°;02/21/2026 1215Z,CYYR DRSN FEW024 SCT035 OVC060,M4,M04,M8,M06,A2991,A2996
21. 12:35Z,4,10,340,18,15,21.0,21.0,6SM,15SM,///022 ///024 ///025 -60.4006°;02/21/2026 1235Z,CYYR -SN DRSN FEW022 BKN033 OVC050,M3,M03,M7,M06,A2992,A2997
21. 12:55Z,5,10,350,21,16,28.0,26.0,6SM,12SM,///022 MAX WND 01028KT -60.4006°;02/21/2026 1255Z,CYYR -SN DRSN FEW021 BKN042 OVC060,M3,M03,M7,M06,A2992,A2997
21. 13:15Z,15,10,350,23,16,35.0,26.0,6SM,12SM,///065 MAX WND 01035KT -60.4006°;02/21/2026 1315Z,CYYR -SN DRSN FEW021 BKN042 OVC060,M3,M03,M7,M06,A2992,A2997
21. 13:55Z,5,10,360,20,14,26.0,27.0,6SM,15SM,///020 ///021 ///028 ///029 MAX WND 01026KT -60.4006°;02/21/2026 1355Z,CYYR -SN DRSN FEW026 BKN034 OVC060,M3,M02,M7,M06,A2994,A2999
21. 14:15Z,15,10,360,21,14,29.0,27.0,6SM,15SM,///019 ///020 ///022 ///025 MAX WND 01029KT -60.4006°;02/21/2026 1415Z,CYYR -SN DRSN FEW026 BKN034 OVC060,M3,M02,M7,M06,A2994,A2999
21. 14:55Z,5,10,350,21,20,29.0,28.0,6SM,15SM,///028 ///065 MAX WND 01029KT -60.4006°;02/21/2026 1455Z,CYYR -SN DRSN FEW026 BKN031 BKN065,M2,M02,M7,M06,A2995,A3000
21. 15:15Z,15,10,350,20,20,27.0,28.0,6SM,15SM,///029 ///031 ///060 ///065 MAX WND 01027KT -60.4006°;02/21/2026 1515Z,CYYR -SN DRSN FEW026 BKN031 BKN065,M2,M02,M7,M06,A2996,A3000
21. 15:55Z,5,10,350,19,20,25.0,31.0,6SM,15SM,///032 ///033 MAX WND 01025KT -60.4006°;02/21/2026 1555Z,CYYR -SN DRSN FEW020 BKN030 BKN065,M2,M02,M7,M06,A2996,A3002
21. 16:15Z,15,20,350,22,20,30.0,31.0,6SM,15SM,///025 ///026 ///028 ///030 MAX WND 02030KT -60.4006°;02/21/2026 1615Z,CYYR -SN DRSN FEW020 BKN030 BKN065,M2,M02,M7,M06,A2997,A3002
21. 16:55Z,5,20,350,23,20,31.0,29.0,6SM,15SM,///065 MAX WND 02031KT -60.4006°;02/21/2026 1655Z,CYYR DRSN FEW020 BKN035 BKN065,M2,M02,M7,M06,A2997,A3003
21. 17:15Z,15,20,350,22,20,30.0,29.0,6SM,15SM,///026 ///031 MAX WND 02030KT -60.4006°;02/21/2026 1715Z,CYYR DRSN FEW020 BKN035 BKN065,M2,M02,M8,M06,A2999,A3003
21. 17:55Z,5,10,350,19,22,27.0,29.0,6SM,15SM,///060 MAX WND 01027KT -60.4006°;02/21/2026 1755Z,CYYR DRSN FEW020 SCT035 BKN065,M2,M02,M8,M07,A3000,A3005
21. 18:15Z,15,10,350,19,22,23.0,29.0,6SM,15SM,///030 ///065 -60.4006°;02/21/2026 1815Z,CYYR DRSN FEW020 SCT035 BKN065,M2,M02,M8,M07,A3001,A3005
21. 18:55Z,5,10,350,19,17,30.0,28.0,6SM,15SM,///028 ///060 MAX WND 01030KT -60.4006°;02/21/2026 1855Z,CYYR DRSN FEW027 BKN060 BKN250,M3,M02,M8,M07,A3003,A3008
21. 19:15Z,15,20,350,17,17,22.0,28.0,6SM,15SM,///060 -60.4006°;02/21/2026 1915Z,CYYR DRSN FEW027 BKN060 BKN250,M3,M02,M8,M07,A3003,A3008
21. 19:55Z,5,360,340,20,17,27.0,25.0,6SM,15SM,000V360 CLR MAX WND 00027KT -60.4006°;02/21/2026 1955Z,CYYR DRSN FEW023 FEW027 BKN065 BKN250,M4,M03,M9,M07,A3005,A3011
21. 20:15Z,15,10,340,20,17,26.0,25.0,6SM,15SM,///065 MAX WND 01026KT -60.4006°;02/21/2026 2015Z,CYYR DRSN FEW023 FEW027 BKN065 BKN250,M4,M03,M9,M07,A3006,A3011
21. 20:55Z,5,20,300,15,14,18.0,22.0,6SM,15SM,///022 ///028 ///029 ///031 -60.4006°;02/21/2026 2055Z,CYYR DRSN FEW020 FEW032 BKN060 BKN250,M4,M04,M9,M08,A3008,A3015
21. 21:15Z,15,10,300,14,14,16.0,22.0,6SM,15SM,///028 ///029 -60.4006°;02/21/2026 2115Z,CYYR DRSN FEW020 FEW032 BKN060 BKN250,M5,M04,M10,M08,A3010,A3015
21. 21:55Z,5,30,20,7,4,9.0,,6SM,15SM,///023 ///024 ///031 -60.4006°;02/21/2026 2155Z,CYYR FEW025 SCT035 SCT060,M5,M06,M10,M09,A3012,A3017
21. 22:15Z,15,40,20,5,4,,,6SM,15SM,///025 ///026 ///031 ///033 -60.4006°;02/21/2026 2215Z,CYYR FEW025 SCT035 SCT060,M6,M06,M11,M09,A3012,A3017
21. 22:55Z,5,50,50,7,7,11.0,,6SM,15SM,CLR -60.4006°;02/21/2026 2255Z,CYYR FEW025 FEW060,M7,M07,M12,M11,A3013,A3018
21. 23:15Z,15,40,50,6,7,7.0,,6SM,15SM,CLR -60.4006°;02/21/2026 2315Z,CYYR FEW025 FEW060,M7,M07,M12,M11,A3013,A3018
21. 23:55Z,5,50,30,4,5,,,6SM,15SM,///024 ///026 ///027 -60.4006°;02/21/2026 2355Z,CYYR FEW025 FEW060,M7,M08,M12,M11,A3015,A3020
22. 00:15Z,15,60,30,4,5,5.0,,6SM,15SM,CLR -60.4006°;02/22/2026 0015Z,CYYR FEW025 FEW060,M8,M08,M12,M11,A3015,A3020
22. 00:55Z,5,10,80,2,2,3.0,,6SM,15SM,///021 ///022 ///026 ///031 -60.4006°;02/22/2026 0055Z,CYYR BKN032,M8,M10,M12,M12,A3015,A3020
22. 01:15Z,15,360,80,1,2,3.0,,6SM,15SM,///030 ///031 -60.4006°;02/22/2026 0115Z,CYYR BKN032,M9,M10,M13,M12,A3015,A3020
22. 01:55Z,5,360,340,4,3,5.0,,6SM,15SM,///028 -60.4006°;02/22/2026 0155Z,CYYR BKN029,M9,M09,M13,M11,A3015,A3020
22. 02:15Z,15,360,340,4,3,5.0,,6SM,15SM,///026 ///029 ///030 -60.4006°;02/22/2026 0215Z,CYYR BKN029,M8,M09,M12,M11,A3015,A3020
